,Datetime,Lai
0,2011-01-01 00:00:00,0.0
1,2011-01-01 00:30:00,0.0
2,2011-01-01 01:00:00,0.0
3,2011-01-01 01:30:00,0.0
4,2011-01-01 02:00:00,0.0
5,2011-01-01 02:30:00,0.0
6,2011-01-01 03:00:00,0.0
7,2011-01-01 03:30:00,0.0
8,2011-01-01 04:00:00,0.0
9,2011-01-01 04:30:00,0.0
10,2011-01-01 05:00:00,0.0
11,2011-01-01 05:30:00,0.0
12,2011-01-01 06:00:00,0.0
13,2011-01-01 06:30:00,0.0
14,2011-01-01 07:00:00,0.0
15,2011-01-01 07:30:00,0.0
16,2011-01-01 08:00:00,0.0
17,2011-01-01 08:30:00,0.0
18,2011-01-01 09:00:00,0.0
19,2011-01-01 09:30:00,0.0
20,2011-01-01 10:00:00,0.0
21,2011-01-01 10:30:00,0.0
22,2011-01-01 11:00:00,0.0
23,2011-01-01 11:30:00,0.0
24,2011-01-01 12:00:00,0.0
25,2011-01-01 12:30:00,0.0
26,2011-01-01 13:00:00,0.0
27,2011-01-01 13:30:00,0.0
28,2011-01-01 14:00:00,0.0
29,2011-01-01 14:30:00,0.0
30,2011-01-01 15:00:00,0.0
31,2011-01-01 15:30:00,0.0
32,2011-01-01 16:00:00,0.0
33,2011-01-01 16:30:00,0.0
34,2011-01-01 17:00:00,0.0
35,2011-01-01 17:30:00,0.0
36,2011-01-01 18:00:00,0.0
37,2011-01-01 18:30:00,0.0
38,2011-01-01 19:00:00,0.0
39,2011-01-01 19:30:00,0.0
40,2011-01-01 20:00:00,0.0
41,2011-01-01 20:30:00,0.0
42,2011-01-01 21:00:00,0.0
43,2011-01-01 21:30:00,0.0
44,2011-01-01 22:00:00,0.0
45,2011-01-01 22:30:00,0.0
46,2011-01-01 23:00:00,0.0
47,2011-01-01 23:30:00,0.0
48,2011-01-02 00:00:00,0.0
49,2011-01-02 00:30:00,0.0
50,2011-01-02 01:00:00,0.0
51,2011-01-02 01:30:00,0.0
52,2011-01-02 02:00:00,0.0
53,2011-01-02 02:30:00,0.0
54,2011-01-02 03:00:00,0.0
55,2011-01-02 03:30:00,0.0
56,2011-01-02 04:00:00,0.0
57,2011-01-02 04:30:00,0.0
58,2011-01-02 05:00:00,0.0
59,2011-01-02 05:30:00,0.0
60,2011-01-02 06:00:00,0.0
61,2011-01-02 06:30:00,0.0
62,2011-01-02 07:00:00,0.0
63,2011-01-02 07:30:00,0.0
64,2011-01-02 08:00:00,0.0
65,2011-01-02 08:30:00,0.0
66,2011-01-02 09:00:00,0.0
67,2011-01-02 09:30:00,0.0
68,2011-01-02 10:00:00,0.0
69,2011-01-02 10:30:00,0.0
70,2011-01-02 11:00:00,0.0
71,2011-01-02 11:30:00,0.0
72,2011-01-02 12:00:00,0.0
73,2011-01-02 12:30:00,0.0
74,2011-01-02 13:00:00,0.0
75,2011-01-02 13:30:00,0.0
76,2011-01-02 14:00:00,0.0
77,2011-01-02 14:30:00,0.0
78,2011-01-02 15:00:00,0.0
79,2011-01-02 15:30:00,0.0
80,2011-01-02 16:00:00,0.0
81,2011-01-02 16:30:00,0.0
82,2011-01-02 17:00:00,0.0
83,2011-01-02 17:30:00,0.0
84,2011-01-02 18:00:00,0.0
85,2011-01-02 18:30:00,0.0
86,2011-01-02 19:00:00,0.0
87,2011-01-02 19:30:00,0.0
88,2011-01-02 20:00:00,0.0
89,2011-01-02 20:30:00,0.0
90,2011-01-02 21:00:00,0.0
91,2011-01-02 21:30:00,0.0
92,2011-01-02 22:00:00,0.0
93,2011-01-02 22:30:00,0.0
94,2011-01-02 23:00:00,0.0
95,2011-01-02 23:30:00,0.0
96,2011-01-03 00:00:00,0.0
97,2011-01-03 00:30:00,0.0
98,2011-01-03 01:00:00,0.0
99,2011-01-03 01:30:00,0.0
100,2011-01-03 02:00:00,0.0
101,2011-01-03 02:30:00,0.0
102,2011-01-03 03:00:00,0.0
103,2011-01-03 03:30:00,0.0
